Date,DAILY_AQI_VALUE
2015-09-16,22
2015-09-17,18
2015-09-18,20
2015-09-19,22
2015-09-20,5
2015-09-21,16
2015-09-22,25
2015-09-23,25
2015-09-24,28
2015-09-25,11
2015-09-26,15
2015-09-27,19
2015-09-28,20
2015-09-29,42
2015-09-30,59
2015-10-01,59
2015-10-02,43
2015-10-03,18
2015-10-04,24
2015-10-05,48
2015-10-06,52
2015-10-07,27
2015-10-08,58
2015-10-09,46
2015-10-10,15
2015-10-12,34
2015-10-13,28
2015-10-14,35
2015-10-15,40
2015-10-16,56
2015-10-17,60
2015-10-18,34
2015-10-19,24
2015-10-20,33
2015-10-21,48
2015-10-22,33
2015-10-23,45
2015-10-24,55
2015-10-25,45
2015-10-26,19
2015-10-27,43
2015-10-28,40
2015-10-29,27
2015-10-30,19
2015-10-31,13
2015-11-01,13
2015-11-02,22
2015-11-03,36
2015-11-04,46
2015-11-05,52
2015-11-06,51
2015-11-07,38
2015-11-08,20
2015-11-09,28
2015-11-10,42
2015-11-11,28
2015-11-12,24
2015-11-13,20
2015-11-14,9
2015-11-15,21
2015-11-16,25
2015-11-17,13
2015-11-18,27
2015-11-19,25
2015-11-20,44
2015-11-21,30
2015-11-22,51
2015-11-23,78
2015-11-24,31
2015-11-25,26
2015-11-26,41
2015-11-27,52
2015-11-28,71
2015-11-29,81
2015-11-30,69
2015-12-01,30
2015-12-02,20
2015-12-03,13
2015-12-04,20
2015-12-05,15
2015-12-06,10
2015-12-07,25
2015-12-08,17
2015-12-09,25
2015-12-10,16
2015-12-11,24
2015-12-12,24
2015-12-13,15
2015-12-14,32
2015-12-15,50
2015-12-16,24
2015-12-17,17
2015-12-18,17
2015-12-19,18
2015-12-20,10
2015-12-21,14
2015-12-22,22
2015-12-23,15
2015-12-24,19
2015-12-25,36
2015-12-26,34
2015-12-27,19
2015-12-28,32
2015-12-29,33
2015-12-30,22
2015-12-31,43
2016-01-01,60
2016-01-02,60
2016-01-03,25
2016-01-04,30
2016-01-05,54
2016-01-06,52
2016-01-07,59
2016-01-08,69
2016-01-09,67
2016-01-10,34
2016-01-11,32
2016-01-12,18
2016-01-13,22
2016-01-14,30
2016-01-15,32
2016-01-20,30
2016-01-21,27
2016-01-22,21
2016-01-23,29
2016-01-24,23
2016-01-25,33
2016-01-26,31
2016-01-27,31
2016-01-28,33
2016-01-29,30
2016-01-30,18
2016-01-31,20
2016-02-01,31
2016-02-02,32
2016-02-03,18
2016-02-04,28
2016-02-05,40
2016-02-08,46
2016-02-09,57
